GeneName	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Abcg1	239.105299414111	-2.26492490168081	0.341229728489808	-6.63753686322926	3.18968207230129e-11	4.9952354392888e-09
Ddx58	151.521409329952	-2.31741505476646	0.350340644110834	-6.61474794238638	3.72185358422184e-11	5.74165352933089e-09
Lrrc16a	96.8342902649682	-2.53211949802258	0.383275564189896	-6.60652474251667	3.9344653832923e-11	5.98038738260429e-09
Dclk2	42.0070654594325	-2.65948042071102	0.403454882069621	-6.59176661109802	4.34623464656264e-11	6.510533522735e-09
Ggh	41.7968618969022	-2.60970133814831	0.403762562580702	-6.46345545626631	1.02338670205905e-10	1.51110356464034e-08
Irgc1	41.7497630747126	-2.61330620312357	0.404729206277261	-6.45692518007539	1.06851690538585e-10	1.55551982169974e-08
Cd2	702.11153042411	-1.33636967280038	0.207406267265684	-6.44324634167641	1.16944647530685e-10	1.67880538455161e-08
Anxa6	403.449406381866	-1.7697310257161	0.275689873179545	-6.41928194643387	1.36918619362058e-10	1.9386176023647e-08
Aff1	32.4025177334634	-2.5883524206404	0.404328633187978	-6.40160554604362	1.53751469254689e-10	2.14753403542766e-08
Ccr7	368.713273261593	-2.47739039019739	0.389177572424175	-6.36570698245996	1.94392230960182e-10	2.64373434105847e-08
Cyp51	837.353155943371	1.3766100795146	0.216242349187157	6.36605218491756	1.93955466384263e-10	2.64373434105847e-08
Ada	916.121742416161	1.08789901827449	0.171159749210959	6.35604470846484	2.07014797956665e-10	2.74321147651293e-08
Lck	1154.93217440582	1.02719616369438	0.161608277997799	6.35608631204129	2.06958768574318e-10	2.74321147651293e-08
Spic	83.4131420435448	-2.56971225973477	0.404649532706252	-6.35046392503856	2.14666549071688e-10	2.80859930532275e-08
Dtl	362.042018254405	1.28859012620902	0.203681931441919	6.3264822612725	2.50813117807249e-10	3.20049924155028e-08
Irak3	38.2196961226686	-2.55880370955478	0.4044106211962	-6.3272416090016	2.49582410582702e-10	3.20049924155028e-08
Rtp4	58.2199843765417	-2.51201051686022	0.400100504251954	-6.27844876515913	3.41967677710455e-10	4.31046087416495e-08
Tmcc3	26.7303719676953	-2.52835320975629	0.404579560369629	-6.24933500705363	4.12203925533154e-10	5.13318045097672e-08
S100a10	831.904588315282	-2.44377474538887	0.391354804560542	-6.24439694341564	4.2543832074325e-10	5.23491724190742e-08
Evi2b	556.167581759828	-1.72845907736814	0.28062213944555	-6.15938243783332	7.30291708834617e-10	8.88034717942895e-08
Lipc	1785.15605746746	0.913424757579155	0.148840531553187	6.13693560515637	8.41284668413799e-10	1.011106782875e-07
Gm2a	965.180850985885	-1.34326311789563	0.219449121375758	-6.1210685623826	9.2949895444799e-10	1.10428749346833e-07
Gimap4	1289.38572077955	-1.06568461651053	0.174324454981587	-6.11322500118009	9.7637554573004e-10	1.14679745916656e-07
Fcrl5	113.256162835021	-2.32978079089283	0.381852342187124	-6.10126096791398	1.05234926226555e-09	1.22214404210974e-07
Lrrc33	749.609381839081	-1.79351987043435	0.29533137442125	-6.07290665933833	1.25615477598386e-09	1.44262397384101e-07
Rcn3	52.4204004489952	-2.4465224949387	0.404345077205895	-6.05058063732259	1.44324698775228e-09	1.63927482037446e-07
Dgka	506.971508919305	-1.60618536923788	0.267706488276189	-5.99979992857251	1.97560797100695e-09	2.21955260742693e-07
Rfc3	874.027711965294	1.01767176085674	0.171247883452247	5.94268227052585	2.80395597839795e-09	3.11631064437863e-07
Hjurp	1284.38029394899	0.982167017438451	0.165361125455552	5.93952789528186	2.8584403747732e-09	3.14306805464424e-07
Gm10786	36.8613891452588	-2.3949568858643	0.403774995916514	-5.93141455039352	3.0033585495284e-09	3.2676541018869e-07
Tmem131	2851.31042643416	0.771720767035021	0.130254045571533	5.92473549400206	3.12800457563434e-09	3.3678182597663e-07
Trim12	496.005091676118	-1.07570275241462	0.181739224442272	-5.9189355281766	3.24031945511234e-09	3.45277751423105e-07
Klf3	68.7904708655136	-2.38053256955452	0.404595959178311	-5.88372798974343	4.01126888151588e-09	4.23066073054572e-07
1110038D17Rik	333.483470424987	-1.67025663755023	0.287904152063963	-5.8014329615474	6.57505835543926e-09	6.79598031618202e-07
Dck	1854.53410859891	0.916911530469686	0.158010924165183	5.80283632485534	6.5202432570413e-09	6.79598031618202e-07
Rnf144a	95.4548436971958	-2.31949445815514	0.400434369134417	-5.79244599600424	6.93686350189532e-09	7.09895258966238e-07
Ptpn22	186.218755972726	-2.1374283995873	0.369551365253454	-5.783846578733	7.30115353713051e-09	7.39850225095891e-07
Tlr7	84.0560333117259	-2.32285814087459	0.403470126202796	-5.75719982724831	8.55206542364231e-09	8.58195613774436e-07
Rasgrp2	548.624346333635	-1.20935601315201	0.210421232460703	-5.74730980809108	9.06745011547595e-09	9.01165042245763e-07
Sell	753.033763565147	-2.2963055430288	0.402979764943828	-5.69831476116149	1.20997504885582e-08	1.19107639094988e-06
Dnmt1	2245.91943100884	0.835252894203762	0.146778490248444	5.69056741754173	1.26617907254545e-08	1.23464404658772e-06
Hmgn3	763.727437962089	1.25904912936872	0.221521545812805	5.68364185410963	1.31856258375915e-08	1.27370680988174e-06
Pcna	3509.107348133	0.933752546541051	0.16532030290971	5.64814200135494	1.62191184434678e-08	1.55222970584892e-06
Rin3	113.758261066007	-2.27884026055157	0.403622627631761	-5.64596755618625	1.64254821689782e-08	1.55755764861063e-06
H2-gs10	351.234000357408	-1.46385814374362	0.261092529132485	-5.60666422975595	2.06263254737372e-08	1.93812454633225e-06
Lynx1	177.466895632446	-1.76343351644709	0.314888186213278	-5.60018950743579	2.14117598952808e-08	1.99380135385246e-06
Nod1	158.70343967679	-2.21517165506939	0.397368791466497	-5.57459896861617	2.4810072894676e-08	2.28961529856581e-06
Plaur	25.2506285694581	-2.25067414884874	0.404504761639611	-5.56402386890552	2.63623863748854e-08	2.41134181921076e-06
Ly6e	12004.8243602401	-0.68715205860061	0.123707720874057	-5.55464164843984	2.7818185517111e-08	2.5221821535514e-06
Ctsc	1092.27848282035	-0.973345440339895	0.17637169812445	-5.51871672547538	3.4148414174544e-08	3.06920007746162e-06
Arpc2	9541.22028273129	0.574732764801252	0.104224062395896	5.51439611534354	3.49979555401557e-08	3.11843852123319e-06
Il9r	292.425427620259	-1.91185987200954	0.347231390696533	-5.50601104403156	3.67055512737254e-08	3.2426374185062e-06
Filip1l	626.624619086524	-1.18235712385044	0.214925493095044	-5.50124188072737	3.77125413170324e-08	3.30336294112582e-06
Fas	889.411732876446	0.975630878495532	0.177947127246636	5.48270092128715	4.18880836046327e-08	3.63827926165953e-06
Add3	1070.44142250841	-1.1363396529501	0.208809557008812	-5.44199063121495	5.2688447276551e-08	4.53823159208693e-06
Itga4	487.803141906829	-1.45399531680837	0.267433915734802	-5.43683964995003	5.42339040402585e-08	4.63274076165382e-06
Aicda	3164.40647585977	1.00470936386316	0.185251280382963	5.42349484325381	5.84449021702454e-08	4.95152876091522e-06
Rps24	40730.3552102732	-0.571474697883522	0.105572400492903	-5.41310697886367	6.19404585676349e-08	5.20501284353719e-06
Tcp11l2	300.454586750455	-1.49206286494597	0.277644624896222	-5.37400234383675	7.70078557536644e-08	6.4189773957248e-06
Rgs2	1651.19574826041	0.803920927478146	0.150484782388994	5.34220746254635	9.18214792268717e-08	7.59253447431157e-06
Set	1061.48674889483	0.721780758512706	0.135262371830891	5.33615334954423	9.49391163567235e-08	7.78802148145313e-06
Myl12b	740.883621364224	-1.13266544193883	0.214145085348019	-5.28924322544257	1.22823474459043e-07	9.99609001581631e-06
Cnr2	644.302661688159	-1.06716894340939	0.202824320539276	-5.26154329309212	1.42851242858994e-07	1.15352378608638e-05
Fam169b	199.113901134169	-2.02593747995044	0.386082748448233	-5.24741778308719	1.54245847188649e-07	1.23587990429603e-05
Mcm5	2509.62371874448	0.823661714735225	0.157207503681088	5.23932824737239	1.61162157899194e-07	1.28136312618929e-05
Tpst2	361.96448977635	-1.51256183764929	0.28899642764829	-5.23384268088629	1.6602177203566e-07	1.30992445477907e-05
Ifi47	576.724102886159	-1.02163407824844	0.195701656566713	-5.22036499931299	1.78570838098602e-07	1.39826377468724e-05
Fam65b	852.563569184635	-1.17022545858464	0.225026348533018	-5.20039304825198	1.98867527611175e-07	1.54548478600685e-05
Vamp1	160.518434268495	-1.43568573393196	0.276537620165811	-5.19164710056855	2.08441806587578e-07	1.60780187529045e-05
Ier2	524.503050615329	-1.33313464335501	0.258288927323263	-5.16140841642241	2.45098791946412e-07	1.87654897300601e-05
Arap2	128.078063706213	-1.96655784008007	0.381634697522638	-5.15298491684818	2.56372592728033e-07	1.94843170473305e-05
4930523C07Rik	719.088073621962	-0.997971350398797	0.193910215816825	-5.14656407448651	2.65300871980128e-07	2.0004430226138e-05
Itgb7	422.971627796738	-1.70363248739376	0.331104298809653	-5.14530464726207	2.67087013468173e-07	2.0004430226138e-05
