x,y
36.7,445.7241951
36.8,437.883777
36.9,430.1582559
37,422.5461616
37.1,415.0460464
37.2,407.6564849
37.3,400.3760735
37.4,393.2034303
37.5,386.1371945
37.6,379.1760262
37.7,372.3186061
37.8,365.5636348
37.9,358.9098329
38,352.35594
38.1,345.900715
38.2,339.5429349
38.3,333.2813951
38.4,327.1149087
38.5,321.0423059
38.6,315.0624338
38.7,309.1741561
38.8,303.3763522
38.9,297.6679173
39,292.0477618
39.1,286.5148106
39.2,281.0680031
39.3,275.7062926
39.4,270.428646
39.5,265.234043
39.6,260.1214764
39.7,255.089951
39.8,250.1384838
39.9,245.2661032
40,240.4718489
40.1,235.7547714
40.2,231.1139318
40.3,226.5484012
40.4,222.0572607
40.5,217.639601
40.6,213.294522
40.7,209.0211323
40.8,204.8185495
40.9,200.6858995
41,196.6223163
41.1,192.6269418
41.2,188.6989256
41.3,184.8374248
41.4,181.0416036
41.5,177.3106332
41.6,173.643692
41.7,170.0399646
41.8,166.4986426
41.9,163.0189234
42,159.6000112
42.1,156.2411158
42.2,152.9414533
42.3,149.7002454
42.4,146.5167197
42.5,143.3901096
42.6,140.3196537
42.7,137.3045965
42.8,134.3441877
42.9,131.4376825
43,128.5843415
43.1,125.7834304
43.2,123.0342205
43.3,120.3359882
43.4,117.688015
43.5,115.0895878
43.6,112.5399989
43.7,110.0385454
43.8,107.5845301
43.9,105.1772608
44,102.8160505
44.1,100.5002178
44.2,98.22908626
44.3,96.00198508
44.4,93.81824869
44.5,91.67721696
44.6,89.57823521
44.7,87.52065425
44.8,85.50383042
44.9,83.52712564
45,81.58990743
45.1,79.69154897
45.2,77.83142915
45.3,76.00893262
45.4,74.2234498
45.5,72.47437697
45.6,70.76111629
45.7,69.08307585
45.8,67.43966972
45.9,65.83031797
46,64.25444673
46.1,62.71148824
46.2,61.20088085
46.3,59.72206909
46.4,58.27450369
46.5,56.85764159
46.6,55.47094601
46.7,54.11388645
46.8,52.78593871
46.9,51.4865849
47,50.21531349
47.1,48.9716193
47.2,47.75500351
47.3,46.56497366
47.4,45.40104369
47.5,44.2627339
47.6,43.14957097
47.7,42.06108793
47.8,40.9968242
47.9,39.95632552
48,38.93914399
48.1,37.94483799
48.2,36.97297224
48.3,36.0231177
48.4,35.09485158
48.5,34.18775732
48.6,33.30142454
48.7,32.43544901
48.8,31.58943262
48.9,30.76298334
49,29.95571517
49.1,29.16724811
49.2,28.3972081
49.3,27.64522701
49.4,26.91094253
49.5,26.19399818
49.6,25.49404321
49.7,24.81073259
49.8,24.14372692
49.9,23.49269239
50,22.85730073
50.1,22.23722914
50.2,21.63216023
50.3,21.04178196
50.4,20.4657876
50.5,19.90387564
50.6,19.35574975
50.7,18.82111868
50.8,18.29969628
50.9,17.79120133
51,17.29535757
51.1,16.81189357
51.2,16.3405427
51.3,15.88104308
51.4,15.43313748
51.5,14.99657326
51.6,14.57110237
51.7,14.15648118
51.8,13.75247052
51.9,13.35883556
52,12.97534575
52.1,12.6017748
52.2,12.23790057
52.3,11.88350502
52.4,11.53837418
52.5,11.20229807
52.6,10.87507063
52.7,10.55648967
52.8,10.24635683
52.9,9.944477489
53,9.650660737
53.1,9.364719306
53.2,9.086469517
53.3,8.815731225
53.4,8.552327765
53.5,8.296085899
53.6,8.046835762
53.7,7.804410811
53.8,7.568647774
53.9,7.339386598
54,7.1164704
54.1,6.899745419
54.2,6.689060965
54.3,6.484269372
54.4,6.285225952
54.5,6.091788946
54.6,5.903819482
54.7,5.721181524
54.8,5.543741835
54.9,5.371369925
55,5.203938013
55.1,5.041320983
55.2,4.883396341
55.3,4.730044175
55.4,4.58114711
55.5,4.436590273
55.6,4.296261249
55.7,4.160050043
55.8,4.027849042
55.9,3.899552972
56,3.775058868
56.1,3.654266027
56.2,3.537075978
56.3,3.423392442
56.4,3.313121298
56.5,3.206170542
56.6,3.10245026
56.7,3.001872584
56.8,2.904351663
56.9,2.809803626
57,2.718146549
57.1,2.629300423
57.2,2.543187115
57.3,2.459730343
57.4,2.378855635
57.5,2.300490304
57.6,2.224563411
57.7,2.151005736
57.8,2.079749743
57.9,2.010729554
58,1.943880916
58.1,1.879141166
58.2,1.816449209
58.3,1.755745481
58.4,1.696971926
58.5,1.640071958
58.6,1.58499044
58.7,1.531673652
58.8,1.480069263
58.9,1.430126302
59,1.381795131
59.1,1.33502742
59.2,1.289776113
59.3,1.24599541
59.4,1.203640734
59.5,1.162668708
59.6,1.123037128
59.7,1.084704937
59.8,1.047632201
59.9,1.011780085
60,0.977110826
60.1,0.94358771
60.2,0.911175049
60.3,0.879838156
60.4,0.849543324
60.5,0.8202578
60.6,0.791949766
60.7,0.764588314
60.8,0.738143426
60.9,0.712585954
61,0.687887593
61.1,0.664020867
61.2,0.640959105
61.3,0.618676423
61.4,0.597147701
61.5,0.576348568
61.6,0.556255377
61.7,0.536845194
61.8,0.518095773
61.9,0.499985542
62,0.482493583
62.1,0.465599615
62.2,0.449283979
62.3,0.433527619
62.4,0.418312066
62.5,0.403619425
62.6,0.389432354
62.7,0.375734052
62.8,0.362508246
62.9,0.34973917
63,0.337411558
63.1,0.325510623
63.2,0.31402205
63.3,0.302931976
63.4,0.292226984
63.5,0.281894082
63.6,0.271920697
63.7,0.262294662
63.8,0.253004199
63.9,0.244037913
64,0.23538478
64.1,0.227034133
64.2,0.218975654
64.3,0.211199359
64.4,0.203695597
64.5,0.196455028
64.6,0.189468625
64.7,0.182727656
64.8,0.176223678
64.9,0.169948528
65,0.163894316
65.1,0.158053412
65.2,0.152418443
65.3,0.146982282
65.4,0.141738039
65.5,0.136679058
65.6,0.131798905
65.7,0.127091364
65.8,0.122550428
65.9,0.118170293
66,0.113945352
66.1,0.109870188
66.2,0.10593957
66.3,0.102148442
66.4,0.098491922
66.5,0.094965296
66.6,0.091564009
66.7,0.088283662
66.8,0.08512001
66.9,0.08206895
67,0.079126522
67.1,0.076288903
67.2,0.073552401
67.3,0.070913452
67.4,0.068368614
67.5,0.065914565
67.6,0.063548099
67.7,0.061266121
67.8,0.059065641
67.9,0.056943777
68,0.054897744
68.1,0.052924856
68.2,0.05102252
68.3,0.049188234
68.4,0.047419583
68.5,0.045714237
68.6,0.044069947
68.7,0.042484542
68.8,0.04095593
68.9,0.03948209
69,0.038061073
69.1,0.036690998
69.2,0.035370051
