x,y
20.2,771.2889437
20.3,774.4586639
20.4,777.6003292
20.5,780.7137922
20.6,783.7989147
20.7,786.8555684
20.8,789.8836346
20.9,792.8830039
21,795.8535769
21.1,798.7952632
21.2,801.7079821
21.3,804.5916622
21.4,807.4462415
21.5,810.2716671
21.6,813.0678955
21.7,815.8348921
21.8,818.5726314
21.9,821.2810969
22,823.9602808
22.1,826.6101843
22.2,829.2308169
22.3,831.8221968
22.4,834.3843508
22.5,836.9173138
22.6,839.4211289
22.7,841.8958473
22.8,844.3415282
22.9,846.7582385
23,849.1460527
23.1,851.505053
23.2,853.8353289
23.3,856.136977
23.4,858.410101
23.5,860.6548117
23.6,862.8712264
23.7,865.0594692
23.8,867.2196704
23.9,869.3519667
24,871.4565009
24.1,873.5334216
24.2,875.5828831
24.3,877.6050455
24.4,879.600074
24.5,881.5681392
24.6,883.5094166
24.7,885.4240866
24.8,887.3123343
24.9,889.1743493
25,891.0103253
25.1,892.8204603
25.2,894.6049562
25.3,896.3640187
25.4,898.0978569
25.5,899.8066836
25.6,901.4907146
25.7,903.1501688
25.8,904.7852679
25.9,906.3962364
26,907.9833013
26.1,909.5466919
26.2,911.0866397
26.3,912.6033784
26.4,914.0971432
26.5,915.5681714
26.6,917.0167014
26.7,918.4429734
26.8,919.8472286
26.9,921.2297093
27,922.5906589
27.1,923.9303212
27.2,925.2489412
27.3,926.5467639
27.4,927.8240351
27.5,929.0810005
27.6,930.3179062
27.7,931.5349982
27.8,932.7325223
27.9,933.9107242
28,935.0698492
28.1,936.2101421
28.2,937.3318473
28.3,938.4352084
28.4,939.5204683
28.5,940.587869
28.6,941.6376515
28.7,942.670056
28.8,943.6853214
28.9,944.6836854
29,945.6653845
29.1,946.6306538
29.2,947.579727
29.3,948.5128363
29.4,949.4302124
29.5,950.3320843
29.6,951.2186794
29.7,952.0902233
29.8,952.9469399
29.9,953.7890512
30,954.6167773
30.1,955.4303365
30.2,956.229945
30.3,957.0158171
30.4,957.7881649
30.5,958.5471987
30.6,959.2931265
30.7,960.0261541
30.8,960.7464852
30.9,961.4543215
31,962.1498623
31.1,962.8333046
31.2,963.5048433
31.3,964.1646711
31.4,964.8129782
31.5,965.4499526
31.6,966.0757801
31.7,966.6906441
31.8,967.2947256
31.9,967.8882034
32,968.4712539
32.1,969.0440511
32.2,969.6067669
32.3,970.1595706
32.4,970.7026293
32.5,971.2361077
32.6,971.7601682
32.7,972.2749708
32.8,972.7806734
32.9,973.2774313
33,973.7653976
33.1,974.2447232
33.2,974.7155566
33.3,975.1780439
33.4,975.6323293
33.5,976.0785544
33.6,976.5168587
33.7,976.9473794
33.8,977.3702516
33.9,977.7856082
34,978.1935798
34.1,978.5942948
34.2,978.9878798
34.3,979.3744589
34.4,979.7541542
34.5,980.1270858
34.6,980.4933717
34.7,980.8531278
34.8,981.2064681
34.9,981.5535044
35,981.8943468
35.1,982.2291032
35.2,982.5578797
35.3,982.8807804
35.4,983.1979077
35.5,983.509362
35.6,983.8152419
35.7,984.1156441
35.8,984.4106637
35.9,984.700394
36,984.9849265
36.1,985.2643511
36.2,985.5387558
36.3,985.8082274
36.4,986.0728506
36.5,986.3327087
36.6,986.5878837
36.7,986.8384556
36.8,987.0845032
36.9,987.3261037
37,987.563333
37.1,987.7962653
37.2,988.0249737
37.3,988.2495297
37.4,988.4700036
37.5,988.6864644
37.6,988.8989796
37.7,989.1076157
37.8,989.3124377
37.9,989.5135098
38,989.7108946
38.1,989.9046537
38.2,990.0948477
38.3,990.2815358
38.4,990.4647764
38.5,990.6446267
38.6,990.821143
38.7,990.9943804
38.8,991.1643932
38.9,991.3312347
39,991.4949571
39.1,991.6556119
39.2,991.8132496
39.3,991.9679199
39.4,992.1196715
39.5,992.2685526
39.6,992.4146103
39.7,992.5578909
39.8,992.6984401
39.9,992.8363027
40,992.971523
40.1,993.1041444
40.2,993.2342096
